name;description;category;contacts;earnings;requiredSkills;bonusSkills;filename;prompt
Colletto bianco;"Questa professione ricopre tutta la gamma delle posizioni dei colletti bianchi, dai commessi ai dirigenti di livello medio o alto. Il datore di lavoro può andare da un'attività locale di medie dimensioni per arrivare a una multinazionale su scala globale. Gli impiegati di solito sono malpagati e svolgono mansioni faticose, con i più talentuosi che vengono tenuti d'occhio per essere eventualmente promossi. I dirigenti di livello medio o alto guadagnano salari superiori, con crescenti responsabilità e voce in capitolo sulle attività giornaliere.";affari;mondo degli affari|sindacalisti|mondo pubblicitario;da Middle Class a Élite Economica;Percezione|Biblioteconomia|Contabilità|Tempra|Lingua Madre|Ammaliare;Valutare:10;"colletto-bianco.png";"leather briefcase, ledger, fountain pen"
Missionario;"I missionari viaggiano in tutto il mondo per diffondere la parola di Dio tra i popoli meno civilizzati. Anche i laici possono essere missionari, generalmente si tratta di medici o di altre figure professionali specializzate.";religiosi;gerarchia ecclesiastica|funzionari stranieri;da Povertà a Classe Lavoratrice;Antropologia|Lingua Madre|Lingua Straniera|Empatia|Tempra|Oratoria;Orientamento:10;"missionario.png";"leather bible, wooden cross, travel satchel"
Clero;"Che siano protestanti, anglicani o cattolici, il loro compito è gestire una piccola comunità ed hanno la possibilità di scalare la gerarchia ecclesiastica. Molti hanno anche studiato diventando così medici, avvocati o insegnanti. Di questa categoria fanno parte anche i rabbini e altri ministri di qualsiasi credo religioso.";religiosi;gerarchia ecclesiastica|alta società|ufficiali governativi locali;da Povertà a Borghesia Agiata;Percezione|Oratoria|Antropologia|Biblioteconomia|Autocontrollo|Lingua Straniera;Persuadere:10;"clero.png";"clerical collar, bible, wooden cross"
Contrabbandiere;"Quello del contrabbandiere è sempre stato un lavoro piuttosto remunerativo. Non è facile portare nel paese merce illegale, a causa dell'occhio vigile della Camera di Commercio, ma per un buon contrabbandiere nulla è impossibile. I traffici possono essere di armi, importazioni esotiche o refurtive provenienti da tutti i continenti.";criminali;crimine organizzato|polizia portuale|mercato nero;da Povertà a Middle Class;Armi da fuoco|Percezione|Rapidità di mano|Navigare|Furtività|Autocontrollo;Camuffarsi:10;"contrabbandiere.png";"wooden crate, lantern, coiled rope"
Falsario;"I falsari sono gli artisti del mondo criminale, specializzati nella falsificazione dei documenti ufficiali, atti e trasferimenti e la realizzazione di firme false. I principianti cominciano l'attività producendo documenti falsi per piccoli criminali, mentre i migliori sono in grado di produrre stampe a più colori e filigrane necessarie a contraffare il denaro.";criminali;crimine organizzato|criminali di strada|mondo degli affari;da Povertà a Upper Middle Class;Pittura e Disegno|Furtività|Raggirare|Riparazione meccanica|Valutare|Falsificare;Crittografia:10;"falsario.png";"quill pen, wax seal, forged documents"
Nobbler;"Le braccia e i muscoli del crimine organizzato. Vengono utilizzati per infliggere punizioni, trasportare carichi, recuperare debiti e intimidire i nemici. Coloro che non appartengono a una banda, vivono come criminali di strada: borseggiatori, rapinatori o tirapiedi occasionali. Spesso provenienti dai docklands o dai quartieri più poveri, i nobbler sono abituati alla violenza quotidiana e si muovono in ambienti dove la legge è solo un'altra voce da zittire. Alcuni hanno esperienza nei circuiti clandestini di boxe o hanno servito come portieri o sorveglianti nei locali più malfamati della città.";criminali;crimine organizzato|criminali di strada|polizia locale;da Povertà a Lower Middle Class;Bassifondi|Corpo a corpo|Armi da botta|Furtività|Percezione|Intimidire;Armi da fuoco:10;"nobbler.png";"brass knuckles, wooden club, flat cap"
Prostituta;"Una prostituta può lavorare in un bordello, sotto la protezione di una madam, o essere una passeggiatrice, molto comune nelle strade dell'East-End. Alcune offrono i propri servizi in locali notturni, taverne o sale da ballo, altre si appoggiano a case private e pensioni a ore. Alcune donne riescono a garantirsi una forma di protezione affiliandosi a gang locali o clienti abituali; altre si muovono in solitudine, cambiando spesso nome e zona. Non mancano i casi di prostituzione maschile o giovanile, anche se meno visibili e più stigmatizzati.";criminali;criminali di strada|polizia locale|crimine organizzato;da Indigenza a Sottoproletariato;Furtività|Rapidità di mano|Ammaliare|Bassifondi|Armi da taglio|Persuadere;Autocontrollo:10;"prostituta.png";"lace fan, feathered hat, red ribbon"
Scassinatore;"Di solito gli scassinatori lavorano da soli, anche se possono scegliere un compagno che li avverta in caso di pericolo. Sono esperti nell'aprire serrature, forzare casseforti, disattivare semplici meccanismi di sicurezza o eludere trappole rudimentali. Alcuni si specializzano in furti su commissione, altri improvvisano colpi veloci in case, botteghe o magazzini. Gli scassinatori più abili sono noti nei bassifondi e, in certi casi, tollerati anche dalla polizia corrotta o da informatori della malavita. I migliori conoscono l'importanza della discrezione: un errore, un rumore o un'impronta possono costare la libertà.";criminali;criminali di strada|crimine organizzato|mercato nero;da Indigenza a Sottoproletariato;Furtività|Cercare|Rapidità di mano|Autocontrollo|Scassinare|Atletica;Bassifondi:10;"scassinatore.png";"lockpick tools, dark lantern, crowbar"
Ricettatore;"Si occupa di riciclare la merce rubata o di contrabbando, paga la refurtiva a prezzo stracciato, la immagazzina e la rivende. Può tenere un monte dei pegni come copertura o usare la propria abitazione come base. Agisce principalmente come intermediario tra ladri e acquirenti, tiene per sè una percentuale dei profitti o, cosa più comune, acquista la merce rubata a prezzi molto bassi.";criminali;criminali di strada|crimine organizzato|mercato nero;da Sottoproletariato ad Upper Middle Class;Biblioteconomia|Contabilità|Cercare|Storia|Valutare|Ammaliare;Bassifondi:10;"ricettatore.png";"pawn shop scale, jewelry, coins"
Sicario;"Omicida a pagamento. Solitamente provengono da fuori città, svolgono il loro lavoro e spariscono prima che qualcuno possa mettersi sulle loro tracce. Spesso si tratta di sociopatici, figure poco adatte a socializzare e molto adatte a passare inosservate. Altri addirittura si sposano e hanno una famiglia, sembrando a tutti gli effetti dei cittadini modello.";criminali;Crimine organizzato|criminali di strada|alta società;da Sottoproletariato a Borghesia Agiata;Armi da fuoco|Armi da taglio|Autocontrollo|Corpo a corpo|Furtività|Rapidità di mano;Bassifondi:10;"sicario.png";"revolver, dark coat, leather gloves"
Borseggiatore;"A volte si riuniscono in piccoli gruppi per compiere furti più complicati. Vivono in strada, non sempre hanno un tetto sopra la testa, e molti iniziano questa professione fin da bambini, imparando a muoversi tra mercati, carrozze e vicoli affollati con destrezza. Alcuni lavorano come tirapiedi per gang più grandi, altri si appoggiano a ricettatori locali per vendere la merce rubata. I più abili sanno scegliere le vittime giuste, evitare le pattuglie e far sparire un portamonete senza lasciare traccia. Nei bassifondi, certi gruppi di ladri si tramandano vere e proprie tecniche di sopravvivenza urbana, codici, segnali e percorsi sicuri per sfuggire alle ronde o nascondersi in piena vista.";criminali;criminali di strada|polizia locale|mercato nero;da Indigenza a Sottoproletariato;Rapidità di mano|Furtività|Percezione|Atletica|Bassifondi|Orientamento;Armi da taglio:10;"borseggiatore.png";"coin purse, gloved hand, flat cap"
Truffatore;"Si spaccia per medico, venditore, vedovo benestante o nobile caduto in disgrazia, adattando ogni ruolo al bersaglio. Alcuni si specializzano nel gioco d'azzardo truccato, nelle scommesse clandestine o nel prestito a usura, e non è raro che i truffatori più scaltri finiscano a gestire allibratori, debitori o picchiatori da mandare quando le bugie non bastano più.";criminali;criminali di strada|criminalità organizzata|alta società;da Povertà a Upper Middle Class;Raggirare|Recitazione|Percezione|Autocontrollo|Empatia|Rapidità di mano;Camuffarsi:10;"truffatore.png";"playing cards, pocket watch, top hat"
Rogue;"L'essere umano rogue abbandona il branco e prende la propria strada. Il rogue è solitamente di nascita appartenente all'Alta Società, ma si tratta di un uomo che o disprezza la propria posizione sociale, o l'ha tradita in passato ed è stato esiliato da essa. Può essere un criminale provetto; di certo non ha alcun rispetto per la legge o per gli standard sociali, sebbene le sue maniere personali siano classicamente impeccabili.";criminali;criminalità organizzata|alta società|funzionari locali;da Middle Class a Élite Economica;Intimidire|Furtività|Rapidità di mano|Biblioteconomia|Empatia|Galateo;Armi da fuoco:10;"rogue.png";"silver-tipped cane, monocle, gloves"
Corrispondente estero;"I corrispondenti esteri sono l'elite dei giornalisti. Hanno una paga fissa, possono sfruttare i rimborsi spese e viaggiano in tutto il globo. Alla fine dell'Ottocento i corrispondenti lavoravano per grossi quotidiani o agenzie stampa a carattere nazionale. Si tratta di un'attività variegata, spesso emozionante e a volte addirittura pericolosa, in quanto disastri naturali, sconvolgimenti politici e guerre sono la priorità per i corrispondenti esteri.";giornalismo;giornalismo|funzionari stranieri|ufficiali governativi locali;da Sottoproletariato ad Alta Borghesia;Percezione|Lingua Straniera|Lingua Madre|Empatia|Ammaliare|Autocontrollo;Cercare:10;"corrispondente-estero.png";"leather satchel, notebook, world map"
Reporter;"Lavora spesso fuori dall'ufficio, dislocato in luoghi specifici come stazioni di polizia o assegnato ad eventi mondani. I più esperti diventano reporter investigativi, la cui responsabilità è scavare nello sporco per denunciare la corruzione o il crimine organizzato. Le sue mansioni non sono molto diverse da quelle del detective, ma deve spesso ricorrere a sotterfugi per ottenere le informazioni che desidera.";giornalismo;giornalismo|polizia locale|criminali di strada;da Povertà a Middle Class;Percezione|Cercare|Furtività|Lingua Madre|Empatia|Ammaliare;Biblioteconomia:10;"reporter.png";"notebook, pencil, press badge"
Cowboy;"Figura caratteristica dell'America del Nord. Alcuni sono proprietari di un ranch, ma la maggior parte cerca un lavoro ovunque sia possibile. Non è raro che si uniscano a qualche compagnia itinerante di artisti, dando prova delle loro abilità con i lazi e le armi da fuoco.";lavoro_rurale;mondo rurale|ambiente circense|criminali di strada;da Povertà a Middle Class;Cavalcare|Armi da fuoco|Armi da lancio|Atletica|Seguire tracce|Sopravvivenza;Primo soccorso:10;"cowboy.png";"cowboy hat, lasso, revolver"
Minatore;"Rischia la vita tutti i giorni a causa delle pessime condizioni di lavoro e degli orari massacranti. Crolli, esplosioni, gas tossici e malattie polmonari sono all'ordine del giorno. I minatori sono spesso soggetti a violenza sistemica che comprende attacchi dinamitardi e omicidi, non solo come conseguenza del mestiere, ma anche per motivi politici e sindacali. Alla fine del XIX secolo, molte compagnie minerarie utilizzano squadre armate o mercenari per reprimere scioperi e manifestazioni. I lavoratori rispondono talvolta con sabotaggi, occupazioni o attentati dinamitardi, spesso attribuiti ai movimenti anarchici o ai sindacati radicali, come i Molly Maguires o i gruppi affiliati all'Industrial Workers of the World. I sindacati locali offrono protezione, ma anche esposizione: essere iscritti significa avere dei diritti, ma anche dei nemici.";lavoro_rurale;mondo delle miniere|sindacalisti|attivisti;da Povertà a Classe Lavoratrice;Armi da botta|Atletica|Esplosivi|Percezione|Primo soccorso|Orientamento;Geologia:10;"minatore.png";"pickaxe, oil lamp, hard hat"
Barista;"Il suo compito non è solo quello di preparare cocktail e servire bevande, è importante che un barista sappia intrattenere la clientela e mostrarsi sempre energico. Può lavorare per un locale minore o per un ristorante famoso.";lavoro_urbano;mondo della ristorazione|polizia locale|criminali di strada;da Classe Lavoratrice a Lower Middle Class;Percezione|Corpo a corpo|Contabilità|Cercare|Empatia|Ammaliare;Rapidità di mano:10;"barista.png";"cocktail shaker, glass bottles, bar towel"
Cocchiere;"Le carrozze e gli omnibus sono ancora il mezzo di trasporto più utilizzato della città. Le carrozze sono principalmente gestite da comuni cittadini che hanno richiesto una semplice licenza; per qualche penny in più, il cocchiere può percorrere grandi distanze, caricare bagagli, e anche aspettare facoltosi clienti sotto la pioggia. Gli omnibus, invece, girano Londra in lungo e in largo, seguendo diligentemente orari e percorsi stabiliti.";lavoro_urbano;colleghi|polizia locale|criminali di strada;da Classe Lavoratrice a Lower Middle Class;Guidare carrozza|Percezione|Orientamento|Empatia|Riparazione meccanica|Cavalcare;Armi da botta:10;"cocchiere.png";"horse whip, carriage lantern, leather reins"
Poliziotto in divisa;"Il suo lavoro può consistere nel pattugliare a piedi le strade di città e paesi, oppure stare seduto dietro una scrivania a compilare scartoffie. Solitamente le forze di Polizia sono organizzate secondo uno schema militare, con i gradi di sergente, tenente, capitano, comandante. Il salario è spesso tanto basso da costringere i poliziotti ad accettare un secondo lavoro come guardia di sicurezza o del corpo. Non è possibile muovere un personaggio che svolga attualmente questo lavoro.";tutori_ordine;polizia locale|criminali di strada|ufficiali governativi locali;da Classe Lavoratrice a Lower Middle Class;Armi da botta|Corpo a corpo|Legge|Percezione|Primo soccorso|Intimidire;Cavalcare:10;"poliziotto-in-divisa.png";"police helmet, wooden truncheon, brass whistle"
Investigatore;"Non importa che sia impiegato al servizio dello Stato o che lavori privatamente con un proprio giro di clienti, l'investigatore ha un fiuto particolare per seguire le tracce e risolvere intricati misteri. Indossa sempre abiti civili e gli è consentito portare un'arma da fuoco sul lavoro, caratteristica che lo differenzia dal cosiddetto bobby di Scotland Yard. Non è possibile giocare un personaggio attualmente impiegato nelle Forze dell'Ordine: i PG devono operare come detective privati, ex agenti, freelance o cacciatori di taglie. Questi ultimi lavorano a pagamento per rintracciare ricercati, evasi o debitori in fuga, spesso spostandosi da una città all'altra.";tutori_ordine;polizia locale|criminali di strada|giornalismo;da Lower Middle Class a Upper Middle Class;Armi da fuoco|Furtività|Legge|Empatia|Seguire tracce|Cercare;Crittografia:10;"investigatore.png";"magnifying glass, deerstalker hat, pipe"
Consulente investigativo;"A differenza dell'investigatore, un consulente privato non è un uomo d'azione, il suo lavoro è prettamente intellettuale e possiede un giro di clienti solitamente appartenenti all'alta società. Spesso funge da supporto per la polizia o altri detective privati, mettendo a disposizione la vasta gamma di conoscenze teoriche che ha acquisito nel tempo. E' un topo di biblioteca specializzato nella catalogazione delle prove e in metodi di ricerca all'avanguardia; può risolvere un caso rimanendo seduto comodamente in salotto e servendosi di un investigatore che svolga per lui qualsiasi tipo di lavoro manuale.";tutori_ordine;colleghi|mondo accademico|polizia locale;Da Middle Class a Élite Economica;Biblioteconomia|Cercare|Archeologia|Scienza Forense|Percezione;Armi da fuoco:10;"consulente-investigativo.png";"magnifying glass, pipe, stack of books"
Avvocato;"Esperti delle leggi vigenti nello stato in cui praticano, gli avvocati possono agire anche da procuratori, consiglieri o rappresentanti legali, abili nello spiegare teorie e conoscenze legali astratte e fornire soluzioni ai loro clienti. Possono essere ingaggiati o nominati da una corte individualmente o essere privatamente al soldo di un ricco cliente o una ditta d'affari. In Inghilterra avvocato e rappresentante legale sono figure diverse e possono rientrare nella categoria penalisti, notai e difensori d'ufficio. Grazie al cliente giusto un avvocato può diventare una celebrità e alcuni di loro amano le attenzioni dei media che sfruttano per ottenere vantaggi politici ed economici.";professione_legale;altri avvocati|funzionari locali|polizia locale;Da Middle Class a Élite Economica;Biblioteconomia|Empatia|Legge|Contabilità|Persuadere|Oratoria;Raggirare:10;"avvocato.png";"leather law book, quill pen, scales of justice"
Giudice;"Un ufficiale che presiede i procedimenti di una corte di giustizia da solo o con un gruppo di suoi pari. Alla fine dell'Ottocento il sistema giudiziario inglese era già molto strutturato e rigidamente gerarchico. I giudici erano figure di grande prestigio sociale, provenienti quasi esclusivamente dalle file dei barristers, dopo lunghi anni di pratica nelle Inns of Court. L'accesso a questa carriera era riservato quasi soltanto agli uomini delle classi medio-alte o aristocratiche, con un'educazione a Oxford o Cambridge. I giudici delle High Courts erano nominati direttamente dalla Corona su consiglio del Lord Cancelliere, e godevano di stipendi elevati e grande rispetto pubblico. Vestivano con la tradizionale parrucca bianca e la toga rossa o nera, simbolo della loro autorità. Il loro compito era presiedere processi civili e penali, istruire le giurie popolari, garantire il rispetto della procedura e pronunciare sentenze. Nella società vittoriana il giudice era percepito come incorruttibile, austero e distante, anche se in realtà molti erano immersi nelle stesse dinamiche di classe e di influenza politica che governavano il resto dell'Inghilterra. Non è possibile muovere un personaggio che svolga attualmente questo lavoro.";professione_legale;funzionari locali|alta società|polizia locale;da Upper Middle Class a Élite Economica;Biblioteconomia|Storia|Legge|Tempra|Empatia|Galateo;Intimidire:10;"giudice.png";"judge's wig, gavel, scales of justice"
Farmacista;"Per riuscire a diventare farmacista, è necessario completare un ciclo di studi triennale. Può essere assunto in un ospedale, in una farmacia, oppure può decidere di aprire un proprio negozio e dedicarsi alla vendita di altre sostanze. Molti farmacisti lavorano a stretto contatto con medici, anatomisti e chirurghi, ma non è raro trovarne anche nei quartieri popolari, dove offrono cure di fortuna, vendono preparati erboristici o realizzano rimedi personalizzati. Alcuni si specializzano nella distillazione di tonici e narcotici, altri mantengono rapporti ambigui con pazienti dipendenti, ricettatori o ciarlatani.";operatori_sanitari;colleghi|mondo accademico|criminali di strada;Da Lower Middle Class a Upper Middle Class;Contabilità|Lingua Straniera|Biblioteconomia|Primo soccorso|Farmacologia|Chimica;Medicina:10;"farmacista.png";"glass medicine bottles, mortar and pestle, scale"
Infermiere;"Per la maggioranza sono di sesso femminile e spesso impiegate negli ospedali. Possono decidere di servire la comunità tramite volontariato o in piccoli ambulatori dedicati alle donne, bambini e indigenti. Alla fine del secolo, molte donne cercavano di accedere alla carriera medica diventando prima infermiere.";operatori_sanitari;colleghi|ambiente accademico|attivisti;da Sottoproletariato a Lower Middle Class;Percezione|Autocontrollo|Medicina|Primo soccorso|Empatia|Biologia;Persuadere:10;"infermiere.png";"nurse cap, medical bag, bandages"
Medico;"Negli ultimi anni, gli ospedali hanno iniziato ad assumere solo personale qualificato, e un medico doveva aver frequentato almeno due anni di università per poter esercitare all'interno di qualche prestigiosa struttura. Lo stesso vale per i chirurghi, che devono dimostrare competenze tecniche e conoscenze anatomiche sempre più richieste dalle istituzioni sanitarie. Ci sono, tuttavia, altre figure che non possiedono alcun pezzo di carta e operano ai margini del sistema: fanno visite a domicilio o aprono piccoli ambulatori nell'East-End, dove la richiesta di cure è particolarmente alta. Alcuni sono ex studenti, altri autodidatti con esperienza di guerra o prigione.";operatori_sanitari;altri colleghi|alta società|polizia locale;da Lower Middle Class ad Alta Borghesia;Lingua Straniera|Medicina|Primo soccorso|Empatia|Biologia|Farmacologia;Autocontrollo:10;"medico.png";"brass stethoscope, medical bag, spectacles"
Coroner;"Il coroner è il medico incaricato di indagare su morti avvenute in circostanze poco chiare agli investigatori, omicidi o suicidi. Il suo lavoro è condurre un'autopsia e determinare le cause e le modalità di un decesso per dare indicazioni al pubblico ministero. Talvolta può essere chiamato a testimoniare in tribunale. Nella Londra vittoriana, il coroner è spesso una figura ibrida tra medico legale e funzionario giudiziario, nominato per distretto e affiancato da una giuria popolare durante le inchieste pubbliche. Le sue conclusioni hanno un peso legale ma anche politico, soprattutto nei casi che coinvolgono baraccati, operai o detenuti.";operatori_sanitari;mondo accademico|polizia locale|funzionari locali;da Lower Middle Class a Upper Middle Class;Medicina|Biologia|Legge|Farmacologia|Chimica|Scienza Forense;Percezione:10;"coroner.png";"medical bag, magnifying glass, autopsy tools"
Alienista;"Alla fine dell'Ottocento, l'alienista era il medico che si occupava della salute mentale. Gli approcci variavano: alcuni si concentravano sul comportamento, altri precursori della psicoanalisi studiavano traumi, sessualità e pulsioni inconsce. Tra alienisti, neurologi e psichiatri era in corso una vera e propria guerra teorica, alimentata da rivalità accademiche e visioni spesso inconciliabili. Le diagnosi riflettevano i pregiudizi dell'epoca, e l'internamento poteva colpire anche donne isteriche, omosessuali o persone giudicate devianti. Alcuni lavoravano nei manicomi pubblici, altri in case di cura private o come consulenti per la polizia e i tribunali.";salute_mentale;altri alienisti|mondo accademico|polizia locale;da Lower Middle Class ad Alta Borghesia;Percezione|Legge|Medicina|Psichiatria|Empatia|Autocontrollo;Leggere le labbra:10;"alienista.png";"notebook, spectacles, brain diagram"
Assistente di manicomio;"In questo caso non servono studi o specializzazioni, solo prestanza fisica e uno stomaco abbastanza forte. L'assistente viene scelto per la sua corporatura robusta, affinchè possa aiutare il medico o l'infermiere in caso malati violenti o altre situazioni che richiedono più muscoli che cervello.";salute_mentale;colleghi|alta società|funzionari locali;da Sottoproletariato a Lower Middle Class;Tempra|Corpo a corpo|Schivare|Intimidire|Primo soccorso|Percezione;Psichiatria:10;"assistente-di-manicomio.png";"large ring of keys, restraint straps, lantern"
Marinaio militare;"Inquadrato nella Marina Reale, serve a bordo di navi da guerra, corazzate o incrociatori coloniali. Ha superato l'addestramento base ed è addestrato all'uso di armi navali, manovre d'emergenza e codici militari. Può svolgere incarichi tecnici, logistici o combattivi e spesso ha vissuto lunghi periodi in mare aperto. Ha visto porti lontani, teatri coloniali e tempeste, ed è abituato a obbedire senza esitazione. Una volta a terra, può trovarsi spaesato o segnato dalla vita militare, ma resta una figura essenziale per operazioni che richiedono disciplina, sangue freddo e resistenza fisica.";forze_armate;Altri marinai|Polizia portuale|Funzionari stranieri;da Classe Lavoratrice a Borghesia Agiata;Armi da fuoco|Corpo a corpo|Navigare|Nuotare|Primo soccorso|Riparazione meccanica;Armi pesanti:10;"marinaio-militare.png";"sailor cap, anchor, coiled rope"
